sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_sents,target_sents,source_text,target_text,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
10,one-to-one,dn_10,isk_12,"Seguitarono pel viale estremo, lungo il parapetto.",二人は胸壁に沿つて歩いて道の終端まで來た。,MISSING,歩いて,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
11,one-to-one,dn_11,isk_13,Involontariamente Ippolita accelerava il suo passo verso il gruppo dei curiosi.,イッポリイタの步調は自然に早く羣集の方へ向つた。,Ippolita,イッポリイタ,Ippolita,Ippolita,PROPN,PROPN,nsubj,nmod,explicit_ref_pos,
11,one-to-one,dn_11,isk_13,Involontariamente Ippolita accelerava il suo passo verso il gruppo dei curiosi.,イッポリイタの步調は自然に早く羣集の方へ向つた。,il gruppo dei curiosi,羣集,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,obj,explicit_full,
15,one-to-one,dn_15,isk_18,disse Giorgio.,ジォルジオが言つた。,Giorgio,ジォルジオ,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
16,one-to-one,dn_16,isk_17,Qualcuno s'è ucciso.,自殺だ。,Qualcuno,MISSING,suicidal-man,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
16,one-to-one,dn_16,isk_17,Qualcuno s'è ucciso.,自殺だ。,s,MISSING,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
17,one-to-one,dn_17,isk_19,"Ambedue si soffermarono, in vicinanza del gruppo.",二人は羣集に近づいた。,Ambedue,二人,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
17,one-to-one,dn_17,isk_19,"Ambedue si soffermarono, in vicinanza del gruppo.",二人は羣集に近づいた。,si,MISSING,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
17,one-to-one,dn_17,isk_19,"Ambedue si soffermarono, in vicinanza del gruppo.",二人は羣集に近づいた。,gruppo,羣集,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
18,one-to-one,dn_18,isk_20,Tutti quegli uomini guardavano con occhi intentissimi il lastrico sottostante.,物見の人々は、眼の下の贅石の上に、皆きつと視線を落した。,Tutti quegli uomini,物見の人々,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
19,one-to-one,dn_19,isk_21,Erano plebei oziosi.,それは遊惰な、勞働者風の者ばかりであつた。,plebei oziosi,遊惰な、勞働者風の者,crowd-of-men,crowd-of-men,NOUN,NOUN,pred,pred,explicit_full,
19,one-to-one,dn_19,isk_21,Erano plebei oziosi.,それは遊惰な、勞働者風の者ばかりであつた。,Erano,それ,crowd-of-men,crowd-of-men,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
20,one-to-many,dn_20,isk_22 isk_23,I loro volti diversi non esprimevano alcuna pietà e alcuna tristezza; l'immobilità dello sguardo metteva ne' loro occhi una specie di stupefazione bestiale.,どの顏面にも、哀情や悲愁の影は見られなかつた。 視線が動かずに居るので、野獸のやうな彼等の眼に、何となく慵い色が翳つてゐた。,loro,視線,crowd-of-men,crowd-of-men,DET,NOUN,nmod,nmod,explicit_ref_case,
20,one-to-many,dn_20,isk_22 isk_23,I loro volti diversi non esprimevano alcuna pietà e alcuna tristezza; l'immobilità dello sguardo metteva ne' loro occhi una specie di stupefazione bestiale.,どの顏面にも、哀情や悲愁の影は見られなかつた。 視線が動かずに居るので、野獸のやうな彼等の眼に、何となく慵い色が翳つてゐた。,loro,MISSING,crowd-of-men,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
21,one-to-one,dn_21,isk_24,"Un giovinastro sopraggiunse, avido di vedere.",若い男が一人、息急き見に來た。,Un giovinastro,若い男,young-man,young-man,NOUN,NOUN,nsubj,nsubj,explicit_full,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,un tale,物見の一人,man-from-the-crowd,man-from-the-crowd,NOUN,NOUN,nsubj,nsubj,explicit_full,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,aveva,呼掛けた,man-from-the-crowd,man-from-the-crowd,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3859707263831004
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,si,MISSING,man-from-the-crowd,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,MISSING,落著いた,MISSING,man-from-the-crowd,MISSING,NULL,MISSING,nsubj,leftover_target,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,colui,遲い客,young-man,young-man,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,gli,MISSING,young-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
22,one-to-many,dn_23,isk_25 isk_28,"gli fece un tale, prima che colui si sporgesse; ed aveva nella voce un indefinibile accento tra di scherno e di giubilo, come rallegrandosi che lo spettacolo non potesse più da altri esser goduto.",漸く好い場所に落著いたと思ふ時分に、物見の一人が凱歌を掲げるやうな、茶化したやうな聲で呼掛けた。 遲い客は佳い幕が見られないと言つたやうな得意な調子であつた。,si,MISSING,young-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
23,one-to-one,dn_24,isk_26,Non c'è più.,遲い遲い。,c'è,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
24,one-to-one,dn_25,isk_27,L'hanno già portato via.,もう擔いで行つちやつたい。,hanno già portato,擔いで行つちやつた,UNKNOWN,UNKNOWN,NULL,NULL,nsubj,nsubj,zero_zero_single,
24,one-to-one,dn_25,isk_27,L'hanno già portato via.,もう擔いで行つちやつたい。,L,MISSING,suicidal-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
27,one-to-one,dn_28,isk_31,Morto?,死んぢやつたか。,Morto,死んぢやつた,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
28,one-to-one,dn_29,isk_32,Morto.,死んぢやつた。,Morto,死んぢやつた,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
29,one-to-many,dn_30,isk_33 isk_34,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana, si sporse molto; e, togliendosi di bocca la pipa, domandò ad alta voce:",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男が、身體を半分突き出して覗き込んでゐた。 と、咥へたパイプを拔取つて大聲に、,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
29,one-to-many,dn_30,isk_33 isk_34,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana, si sporse molto; e, togliendosi di bocca la pipa, domandò ad alta voce:",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男が、身體を半分突き出して覗き込んでゐた。 と、咥へたパイプを拔取つて大聲に、,domandò,拔取つて,man-with-a-pipe,man-with-a-pipe,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5395430741769845
29,one-to-many,dn_30,isk_33 isk_34,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana, si sporse molto; e, togliendosi di bocca la pipa, domandò ad alta voce:",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男が、身體を半分突き出して覗き込んでゐた。 と、咥へたパイプを拔取つて大聲に、,si,MISSING,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
29,one-to-many,dn_30,isk_33 isk_34,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana, si sporse molto; e, togliendosi di bocca la pipa, domandò ad alta voce:",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男が、身體を半分突き出して覗き込んでゐた。 と、咥へたパイプを拔取つて大聲に、,si,MISSING,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
29,one-to-many,dn_30,isk_33 isk_34,"Un altro, un uomo scarno e verdiccio che portava intorno al collo una larga sciarpa di lana, si sporse molto; e, togliendosi di bocca la pipa, domandò ad alta voce:",憔悴けた蒼ずんだ顔の、頸に大きなマフラを捲いた男が、身體を半分突き出して覗き込んでゐた。 と、咥へたパイプを拔取つて大聲に、,MISSING,突き出して,MISSING,man-with-a-pipe,MISSING,NULL,MISSING,nsubj,leftover_target,
31,one-to-many,dn_32,isk_36 isk_37 isk_38,"La sua bocca era tòrta da un lato, rappresa come per una bruciatura, convulsa come se assaporasse una saliva amara di continuo rigurgitante; e la sua voce era profonda, come se uscisse da luoghi cavernosi.",口が片方へ引釣つて火傷の痕のやうなものが黏り附いてゐる。 苦い唾液が引切なしに湧く所爲てか痙攣も見える。 胴間聲は洞穴から出て來るやうであつた。,sua,MISSING,man-with-a-pipe,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
